language,plotting_data
Namia,3500.0
Ak,40.0
Sumariup,80.0
Watakataui,350.0
Kapriman,1339.0
Mari (East Sepik Province),80.0
Bisis,450.0
Berinomo,178.0
Nigilu,
Bahinemo,700.0
Wagu,
Kaningra,327.0
Alamblak,1200.0
Saniyo-Hiyewe,644.0
Piame,100.0
Hewa,2150.0
Niksek,930.0
Pahi,299.0
Mehek,2013.5
Yessan-Mayo,1990.0
Ayi,430.0
Pasi,77.0
Kalou,820.0
Maria,1400.0
Doromu-Koki,2000.0
