language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls
teni1244,Tenis,-1.65074,150.672,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2693', 'label': 'Tenis'}, {'url': 'https://www.wikidata.org/entity/Q7699870', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Tenis_language', 'label': None}]",~40,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/2693']
fiwa1240,Fiwaga,-6.66342,143.646,"[{'url': 'https://www.wikidata.org/entity/Q5456292', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Fiwaga_language', 'label': None}]",(300 cited 1981)[1],,,,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Fiwaga_language']
foii1241,Foi,-6.47258,143.495,"[{'url': 'https://wals.info/languoid/lect/wals_code_foe', 'label': 'Foe'}, {'url': 'https://grambank.clld.org/languages/foii1241', 'label': 'Foi'}, {'url': 'https://en.wikipedia.org/wiki/Foi_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q5464146', 'label': None}]","6,000 (2015)[1]",,,,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Foi_language']
owin1240,Owiniga,-4.47476,141.697,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10663', 'label': 'Owiniga'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-owiniga', 'label': 'Owiniga'}, {'url': 'https://wals.info/languoid/lect/wals_code_owi', 'label': 'Owininga'}, {'url': 'https://en.wikipedia.org/wiki/Owiniga_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q56454', 'label': None}]",219,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10663']
amap1240,Ama,-4.20192,141.658,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10662', 'label': 'Ama'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-ama', 'label': 'Ama'}, {'url': 'https://wals.info/languoid/lect/wals_code_amm', 'label': 'Ama'}, {'url': 'https://grambank.clld.org/languages/amap1240', 'label': 'Ama (Papua New Guinea)'}, {'url': 'https://en.wikipedia.org/wiki/Ama_language_(New_Guinea)', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3446626', 'label': None}]",450,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10662']
bopa1235,Bo,-4.32114,141.45,"[{'url': 'https://www.endangeredlanguages.com/elp-language/3962', 'label': 'Bo'}, {'url': 'https://www.wikidata.org/entity/Q56770', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Bo_language_(New_Guinea)', 'label': None}]",85,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/3962']
iter1241,Iteri,-4.11998,141.585,"[{'url': 'https://www.endangeredlanguages.com/elp-language/4312', 'label': 'Iteri'}, {'url': 'https://www.wikidata.org/entity/Q2083185', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Iteri_language', 'label': None}]",480,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/4312']
nakw1240,Nakwi,-4.27412,141.601,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10664', 'label': 'Nakwi'}, {'url': 'https://www.wikidata.org/entity/Q3504178', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Nakwi_language', 'label': None}]",216,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10664']
nimo1247,Nimo,-4.3582,141.578,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10665', 'label': 'Nimo'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-nimo', 'label': 'Nimo'}, {'url': 'https://en.wikipedia.org/wiki/Nimo_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3504126', 'label': None}]",178,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10665']
kark1258,Karkar-Yuri,-3.74954,141.098,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10680', 'label': 'Karkar-Yuri'}, {'url': 'https://grambank.clld.org/languages/kark1258', 'label': 'Karkar-Yuri'}, {'url': 'https://wals.info/languoid/lect/wals_code_kyr', 'label': 'Karkar-Yuri'}, {'url': 'https://en.wikipedia.org/wiki/Karkar_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q2992906', 'label': None}]",">1,000",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10680']
