language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,speaker_number_min,speaker_number_max,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls,plotting_data,bar_chart_tooltip_value
lila1246,Lilau,-4.35479,144.99,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10578', 'label': 'Lilau'}, {'url': 'https://www.wikidata.org/entity/Q6547570', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Lilau_language', 'label': None}]",410,410.0,exact,410.0,410.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10578'],410.0,410.0
nucl1458,Monumbo,-4.2717,144.95,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10577', 'label': 'Monumbo'}, {'url': 'https://grambank.clld.org/languages/nucl1458', 'label': 'Monumbo'}, {'url': 'https://wals.info/languoid/lect/wals_code_mbo', 'label': 'Monumbo'}, {'url': 'https://en.wikipedia.org/wiki/Monumbo_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q6906792', 'label': None}]",450,450.0,exact,450.0,450.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/10577'],450.0,450.0
dadi1250,Dadibi,-6.65765,144.511,"[{'url': 'https://grambank.clld.org/languages/dadi1250', 'label': 'Dadibi'}, {'url': 'https://lexibank.clld.org/languages/johanssonsoundsymbolic-Dadibi', 'label': 'Dadibi'}, {'url': 'https://wals.info/languoid/lect/wals_code_dad', 'label': 'Dadibi'}, {'url': 'https://en.wikipedia.org/wiki/Dadibi_language', 'label': None}, {'url': 'https://phoible.org/languages/dadi1250', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q5208077', 'label': None}]","(13,000 cited 2000 census)[1]",13000.0,exact,13000.0,13000.0,,,2000,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Dadibi_language'],13000.0,13000.0
folo1238,Folopa,-6.86321,144.458,"[{'url': 'https://wals.info/languoid/lect/wals_code_pdp', 'label': 'Folopa'}, {'url': 'https://en.wikipedia.org/wiki/Folopa_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q5464843', 'label': None}]","(3,000 cited 1985)[1]",3000.0,exact,3000.0,3000.0,,,1985,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Folopa_language'],3000.0,3000.0
wabo1241,Waboda,-8.41651,143.501,"[{'url': 'https://lexibank.clld.org/languages/transnewguineaorg-waboda', 'label': 'Waboda'}, {'url': 'https://en.wikipedia.org/wiki/Waboda_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q7958705', 'label': None}]","2,800 (2003)[1]",2800.0,exact,2800.0,2800.0,,,2003,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Waboda_language'],2800.0,2800.0
sout2949,Southern Kiwai,-8.64889,143.244,"[{'url': 'https://wals.info/languoid/lect/wals_code_kiw', 'label': 'Kiwai (Southern)'}, {'url': 'https://grambank.clld.org/languages/sout2949', 'label': 'Southern Kiwai'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-tureture', 'label': 'Southern Kiwai (Tureture Dialect)'}, {'url': 'https://phoible.org/languages/sout2949', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q11732322', 'label': None}]",,,,,,,,,,,,,,[],,
bamu1257,Bamu,-7.93818,143.545,"[{'url': 'https://lexibank.clld.org/languages/johanssonsoundsymbolic-Bamu', 'label': 'Bamu'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-bamu', 'label': 'Bamu'}, {'url': 'https://en.wikipedia.org/wiki/Bamu_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3503788', 'label': None}]","(5,400; 6,300 with Gama cited 2000 census)[1]",5400.0,exact,5400.0,5400.0,,,2000,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Bamu_language'],5400.0,5400.0
nort2930,Northeast Kiwai,-7.39215,144.667,"[{'url': 'https://grambank.clld.org/languages/nort2930', 'label': 'Northeast Kiwai'}, {'url': 'https://www.wikidata.org/entity/Q11732324', 'label': None}]",,,,,,,,,,,,,,[],,
kere1286,Kerewo,-7.551,144.309,"[{'url': 'https://www.wikidata.org/entity/Q6393847', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Kerewo_language', 'label': None}]","1,090 in the local area (2011)[1]",1090.0,exact,1090.0,1090.0,,,2011,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Kerewo_language'],1090.0,1090.0
mori1271,Morigi,-7.62961,143.88,"[{'url': 'https://www.wikidata.org/entity/Q6912195', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Morigi_language', 'label': None}]",(700 cited 1975)[1],700.0,exact,700.0,700.0,,,1975,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Morigi_language'],700.0,700.0
idii1243,Idi-Taeme,-8.75976,142.301,"[{'url': 'https://grambank.clld.org/languages/idii1243', 'label': 'Idi-Taeme'}, {'url': 'https://en.wikipedia.org/wiki/Idi_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q5988630', 'label': None}]","(1,600 cited 2000 census)[1]",1600.0,exact,1600.0,1600.0,,,2000,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Idi_language'],1600.0,1600.0
agob1244,Agob-Ende-Kawam,-9.08521,142.532,"[{'url': 'https://grambank.clld.org/languages/agob1244', 'label': 'Agob-Ende-Kawam'}, {'url': 'https://en.wikipedia.org/wiki/Agob_languages', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q3332143', 'label': None}]","(2,400 cited 2000 census)[1]",2400.0,exact,2400.0,2400.0,,,2000,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Agob_languages'],2400.0,2400.0
turu1250,Turumsa,-7.93238,142.568,"[{'url': 'https://www.endangeredlanguages.com/elp-language/3512', 'label': 'Turumsa'}, {'url': 'https://www.wikidata.org/entity/Q7856508', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Turumsa_language', 'label': None}]",5,5.0,exact,5.0,5.0,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.75,['https://www.endangeredlanguages.com/elp-language/3512'],5.0,5.0
doso1239,Doso,-7.85806,142.656,"[{'url': 'https://www.wikidata.org/entity/Q4167202', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Doso_language', 'label': None}]",,,,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Doso_language'],4.5,extinct
tola1236,Tolai-Nakanai-Trade,-4.903211,151.323615,[],,,,,,,,,,,,,,[],,
kwom1264,Kwoma-Manambu Pidgin,-4.072276,142.842763,[],,,,,,,,,,,,,,[],,
,Ma,-5.73869,146.364,"[{'url': 'https://www.wikidata.org/entity/Q6804364', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Mebu_language', 'label': None}]",570 (2003)[1],570.0,exact,570.0,570.0,,,2003,wikipedia.org,tertiary,community-curated,direct,0.38,['https://en.wikipedia.org/wiki/Mebu_language'],570.0,570.0
